,1,Date,UTC,SCLK,L_s,Solar_dist,Orb_num,Gqual,Solar_lat,Solar_lon,Solar_zen,LTST,Profile_lat,Profile_lon,Profile_rad,Profile_alt,Limb_ang,Are_rad,Surf_lat,Surf_lon,Surf_rad,T_surf,T_surf_err,T_near_surf,T_near_surf_err,Dust_column,Dust_column_err,H2Ovap_column,H2Ovap_column_err,H2Oice_column,H2Oice_column_err,CO2ice_column,CO2ice_column_err,p_surf,p_surf_err,p_ret_alt,p_ret,p_ret_err,Rqual,P_qual,T_qual,Dust_qual,H2Ovap_qual,H2Oice_qual,CO2ice_qual,surf_qual,Obs_qual,Ref_SCLK_0,Ref_SCLK_1,Ref_SCLK_2,Ref_SCLK_3,Ref_SCLK_4,Ref_SCLK_5,Ref_SCLK_6,Ref_SCLK_7,Ref_SCLK_8,Ref_SCLK_9,Ref_Date_0,Ref_UTC_0,Ref_Date_1,Ref_UTC_1,Ref_Date_2,Ref_UTC_2,Ref_Date_3,Ref_UTC_3,Ref_Date_4,Ref_UTC_4,Ref_Date_5,Ref_UTC_5,Ref_Date_6,Ref_UTC_6,Ref_Date_7,Ref_UTC_7,Ref_Date_8,Ref_UTC_8,Ref_Date_9,Ref_UTC_9,Profile_identifier,1,Pres,T,T_err,Dust,Dust_err,H2Ovap,H2Ovap_err,H2Oice,H2Oice_err,CO2ice,CO2ice_err,Alt,Lat,Lon,Profile_identifier,level
0,0,01-Dec-2019,00:00:29.197,1259625680.517,114.27204,242489747.232,62558,0,22.834,-10.1456,74.43,0.642981,-33.15087,41.32755,3432.212,40.432,0.3782,3390.760,-33.69648,40.977,3391.233,199.576,0.036,189.839,0.379,0.0288,0.001,,,0.0127,0.001,,,509.5291,52.5605,18.0,80.8017,0.7287,0,0,0,1,9,1,9,2,10,1259625676.421,1259625678.469,1259625680.517,1259625682.565,1259625684.613,1259625860.739,1259625858.691,,,,01-Dec-2019,00:00:25.102,01-Dec-2019,00:00:27.150,01-Dec-2019,00:00:29.197,01-Dec-2019,00:00:31.245,01-Dec-2019,00:00:33.293,01-Dec-2019,00:03:29.420,01-Dec-2019,00:03:27.372,,,,,,,191201000000_0,0,50.072,175.46,0.141,9.4781e-05,4.7796e-06,,,6.1261e-06,8.703e-06,,,22.425,-32.594,41.271,191201000000_0,29
1,0,01-Dec-2019,00:01:40.877,1259625752.196,114.27242,242489635.74,62558,0,22.834,-10.43639,71.62779,0.642103,-29.20708,40.72057,3431.798,38.638,0.3752,3391.860,-28.74849,40.2645,3392.81,212.967,0.035,214.23,3.551,0.037,0.0011,,,0.0211,0.001,,,469.4359,42.8525,28.0,26.5142,0.2098,0,0,0,1,9,1,9,2,10,1259625748.100,1259625750.148,1259625752.196,1259625754.244,1259625756.292,1259625950.851,1259625952.899,,,,01-Dec-2019,00:01:36.781,01-Dec-2019,00:01:38.829,01-Dec-2019,00:01:40.877,01-Dec-2019,00:01:42.925,01-Dec-2019,00:01:44.973,01-Dec-2019,00:04:59.532,01-Dec-2019,00:05:01.580,,,,,,,191201000000_1,0,50.072,176.014,0.123,0.00014338,1.885e-05,,,0.0002953,1.1854e-05,,,22.317,-28.719,40.672,191201000000_1,29
2,0,01-Dec-2019,00:02:11.597,1259625782.916,114.27259,242489589.265,62558,0,22.834,-10.56099,70.473,0.641763,-27.56089,40.47357,3432.543,38.203,0.375,3392.300,-27.08049,40.03149,3393.054,211.313,0.035,213.417,0.23,0.0342,0.001,,,0.0314,0.001,,,513.2485,46.981,29.0,25.7425,0.1775,0,0,0,1,9,1,9,2,10,1259625778.820,1259625780.868,1259625782.916,1259625784.964,1259625787.012,1259625981.571,1259625983.619,,,,01-Dec-2019,00:02:07.501,01-Dec-2019,00:02:09.549,01-Dec-2019,00:02:11.597,01-Dec-2019,00:02:13.645,01-Dec-2019,00:02:15.693,01-Dec-2019,00:05:30.252,01-Dec-2019,00:05:32.300,,,,,,,191201000000_2,0,50.072,174.852,0.266,0.00023606,5.5904e-06,,,0.0008726,0.00010097,,,23.121,-27.076,40.425,191201000000_2,29
3,0,01-Dec-2019,00:02:42.317,1259625813.636,114.27275,242489541.265,62558,0,22.834,-10.68559,69.3274,0.641435,-25.91449,40.23117,3433.267,38.667,0.3744,3392.700,-25.41099,39.802,3394.188,219.269,0.034,214.878,2.726,0.0257,0.001,,,0.0237,0.001,,,456.5801,,,,,0,9,0,1,9,1,9,2,10,1259625809.540,1259625811.588,1259625813.636,1259625815.684,1259625817.732,1259626012.290,1259626014.338,,,,01-Dec-2019,00:02:38.221,01-Dec-2019,00:02:40.269,01-Dec-2019,00:02:42.317,01-Dec-2019,00:02:44.365,01-Dec-2019,00:02:46.413,01-Dec-2019,00:06:00.971,01-Dec-2019,00:06:03.019,,,,,,,191201000000_3,0,50.072,176.38,1.104,0.00041153,9.8448e-06,,,0.00083373,3.7845e-05,,,22.129,-25.392,40.179,191201000000_3,29
4,0,01-Dec-2019,00:03:13.036,1259625844.356,114.27292,242489493.264,62558,0,22.834,-10.81039,68.19121,0.641117,-24.26791,39.99177,3433.983,38.883,0.3748,3393.080,-23.73998,39.574,3394.942,214.647,0.052,,,,,,,,,,,,,,,,0,9,1,5,9,5,9,3,10,1259625840.260,1259625842.308,1259625844.356,1259625846.404,1259625848.451,1259626043.010,1259626045.058,,,,01-Dec-2019,00:03:08.940,01-Dec-2019,00:03:10.988,01-Dec-2019,00:03:13.036,01-Dec-2019,00:03:15.084,01-Dec-2019,00:03:17.132,01-Dec-2019,00:06:31.691,01-Dec-2019,00:06:33.739,,,,,,,191201000000_4,0,50.072,175.033,3.719,0.00064174,1.5001e-05,,,0.0017733,0.00018711,,,22.072,-23.732,39.939,191201000000_4,29
5,0,01-Dec-2019,00:03:43.756,1259625875.075,114.27308,242489445.264,62558,0,22.834,-10.93459,67.0654,0.640807,-22.62152,39.75578,3434.688,38.668,0.3746,3393.460,-22.07099,39.3505,3395.701,220.324,0.049,,,,,,,,,,,,,,,,0,9,1,5,9,5,9,3,10,1259625870.979,1259625873.027,1259625875.075,1259625877.123,1259625879.171,1259626073.730,1259626075.778,,,,01-Dec-2019,00:03:39.660,01-Dec-2019,00:03:41.708,01-Dec-2019,00:03:43.756,01-Dec-2019,00:03:45.804,01-Dec-2019,00:03:47.852,01-Dec-2019,00:07:02.411,01-Dec-2019,00:07:04.459,,,,,,,191201000000_5,0,50.072,,,,,,,,,,,21.743,-22.06,39.7,191201000000_5,29
6,0,01-Dec-2019,00:04:14.476,1259625905.795,114.27324,242489398.788,62558,0,22.834,-11.05939,65.951,0.640506,-20.97612,39.52278,3435.395,38.635,0.3746,3393.840,-20.45599,39.13449,3396.036,228.435,0.033,217.314,3.101,0.0185,0.001,,,0.044,0.001,,,428.1279,,,,,0,9,0,1,9,1,9,2,10,1259625901.699,1259625903.747,1259625905.795,1259625907.843,1259625909.891,1259626104.450,1259626106.498,,,,01-Dec-2019,00:04:10.380,01-Dec-2019,00:04:12.428,01-Dec-2019,00:04:14.476,01-Dec-2019,00:04:16.524,01-Dec-2019,00:04:18.572,01-Dec-2019,00:07:33.131,01-Dec-2019,00:07:35.179,,,,,,,191201000000_6,0,50.072,175.551,0.869,0.00074318,1.7184e-05,,,0.0023041,0.000174,,,21.614,-20.378,39.464,191201000000_6,29
7,0,01-Dec-2019,00:04:45.196,1259625936.515,114.27341,242489350.787,62558,0,22.834,-11.18399,64.8486,0.640209,-19.33113,39.29118,3436.109,39.469,0.3734,3394.180,-18.78549,38.9145,3396.531,231.594,0.033,215.733,1.603,0.0195,0.001,,,0.0488,0.001,,,422.1551,,,,,0,9,0,1,9,1,9,2,10,1259625932.419,1259625934.467,1259625936.515,1259625938.563,1259625940.611,1259626135.170,1259626137.218,,,,01-Dec-2019,00:04:41.100,01-Dec-2019,00:04:43.148,01-Dec-2019,00:04:45.196,01-Dec-2019,00:04:47.244,01-Dec-2019,00:04:49.292,01-Dec-2019,00:08:03.851,01-Dec-2019,00:08:05.899,,,,,,,191201000000_7,0,50.072,175.803,0.227,0.00077159,7.3076e-06,,,0.0028426,0.0002812,,,21.502,-18.705,39.229,191201000000_7,29
8,0,01-Dec-2019,00:05:15.916,1259625967.235,114.27357,242489302.786,62558,0,22.834,-11.30859,63.69,0.639893,-17.58614,39.05298,3434.659,37.699,0.3746,3394.500,-17.11249,38.6955,3396.846,233.684,0.034,218.039,1.905,0.0174,0.001,,,0.0552,0.001,,,422.3145,,,,,0,9,0,1,9,1,9,2,10,1259625963.139,1259625965.187,1259625967.235,1259625969.283,1259625971.331,1259626165.890,1259626167.937,,,,01-Dec-2019,00:05:11.820,01-Dec-2019,00:05:13.868,01-Dec-2019,00:05:15.916,01-Dec-2019,00:05:17.964,01-Dec-2019,00:05:20.012,01-Dec-2019,00:08:34.570,01-Dec-2019,00:08:36.618,,,,,,,191201000000_8,0,50.072,174.379,0.844,0.0012471,1.9548e-05,,,0.0038935,0.00022856,,,21.59,-17.031,38.998,191201000000_8,29
9,0,01-Dec-2019,00:05:46.636,1259625997.955,114.27373,242489256.31,62558,0,22.834,-11.43318,62.6152,0.639608,-15.94295,38.82558,3435.386,38.066,0.3724,3394.800,-15.4415,38.4795,3396.845,236.465,0.035,215.578,1.653,0.0224,0.001,,,0.0622,0.001,,,434.0504,,,,,0,9,0,1,9,1,9,2,10,1259625993.859,1259625995.907,1259625997.955,1259626000.003,1259626002.051,1259626196.609,1259626198.657,,,,01-Dec-2019,00:05:42.540,01-Dec-2019,00:05:44.588,01-Dec-2019,00:05:46.636,01-Dec-2019,00:05:48.683,01-Dec-2019,00:05:50.731,01-Dec-2019,00:09:05.290,01-Dec-2019,00:09:07.338,,,,,,,191201000000_9,0,50.072,176.11,0.289,0.0012908,3.0428e-05,,,0.003609,8.7775e-05,,,21.752,-15.347,38.766,191201000000_9,29
